"","age","val","game","type","players"
"1",1,0,"Honor_of_Kings","MOBA",6.7
"2",2,0,"Honor_of_Kings","MOBA",6.7
"3",3,0,"Honor_of_Kings","MOBA",6.7
"4",4,0,"Honor_of_Kings","MOBA",6.7
"5",5,0,"Honor_of_Kings","MOBA",6.7
"6",6,0.000199152279206815,"Honor_of_Kings","MOBA",6.7
"7",7,0.000942845928300308,"Honor_of_Kings","MOBA",6.7
"8",8,0.00200836112405447,"Honor_of_Kings","MOBA",6.7
"9",9,0.0034740527042743,"Honor_of_Kings","MOBA",6.7
"10",10,0.00540853958507288,"Honor_of_Kings","MOBA",6.7
"11",11,0.00785597492549793,"Honor_of_Kings","MOBA",6.7
"12",12,0.0108199431408322,"Honor_of_Kings","MOBA",6.7
"13",13,0.0142491725434375,"Honor_of_Kings","MOBA",6.7
"14",14,0.0180291014684892,"Honor_of_Kings","MOBA",6.7
"15",15,0.0219833623747195,"Honor_of_Kings","MOBA",6.7
"16",16,0.0258880951182428,"Honor_of_Kings","MOBA",6.7
"17",17,0.0294995494829911,"Honor_of_Kings","MOBA",6.7
"18",18,0.0325919663090856,"Honor_of_Kings","MOBA",6.7
"19",19,0.0349989910833174,"Honor_of_Kings","MOBA",6.7
"20",20,0.0366490266238263,"Honor_of_Kings","MOBA",6.7
"21",21,0.0375842335017841,"Honor_of_Kings","MOBA",6.7
"22",22,0.0379552391225723,"Honor_of_Kings","MOBA",6.7
"23",23,0.0379890626309503,"Honor_of_Kings","MOBA",6.7
"24",24,0.0379351938258526,"Honor_of_Kings","MOBA",6.7
"25",25,0.0380020386241221,"Honor_of_Kings","MOBA",6.7
"26",26,0.0383004956509236,"Honor_of_Kings","MOBA",6.7
"27",27,0.0388112100690333,"Honor_of_Kings","MOBA",6.7
"28",28,0.0393864499640864,"Honor_of_Kings","MOBA",6.7
"29",29,0.039787866959116,"Honor_of_Kings","MOBA",6.7
"30",30,0.0397505907098626,"Honor_of_Kings","MOBA",6.7
"31",31,0.0390557987238747,"Honor_of_Kings","MOBA",6.7
"32",32,0.0375910553781766,"Honor_of_Kings","MOBA",6.7
"33",33,0.0353814331608754,"Honor_of_Kings","MOBA",6.7
"34",34,0.0325834893621721,"Honor_of_Kings","MOBA",6.7
"35",35,0.0294454593544611,"Honor_of_Kings","MOBA",6.7
"36",36,0.0262467336660849,"Honor_of_Kings","MOBA",6.7
"37",37,0.0232347342629922,"Honor_of_Kings","MOBA",6.7
"38",38,0.0205764237506947,"Honor_of_Kings","MOBA",6.7
"39",39,0.0183357056626589,"Honor_of_Kings","MOBA",6.7
"40",40,0.0164793398584762,"Honor_of_Kings","MOBA",6.7
"41",41,0.0149057100345177,"Honor_of_Kings","MOBA",6.7
"42",42,0.0134853268128139,"Honor_of_Kings","MOBA",6.7
"43",43,0.0121005514938057,"Honor_of_Kings","MOBA",6.7
"44",44,0.0106744416114862,"Honor_of_Kings","MOBA",6.7
"45",45,0.00918346611961352,"Honor_of_Kings","MOBA",6.7
"46",46,0.0076542253482788,"Honor_of_Kings","MOBA",6.7
"47",47,0.00614853279979965,"Honor_of_Kings","MOBA",6.7
"48",48,0.00474326110968697,"Honor_of_Kings","MOBA",6.7
"49",49,0.00351110072804411,"Honor_of_Kings","MOBA",6.7
"50",50,0.00250645829260617,"Honor_of_Kings","MOBA",6.7
"51",51,0.0017581519147557,"Honor_of_Kings","MOBA",6.7
"52",52,0.00126832198669917,"Honor_of_Kings","MOBA",6.7
"53",53,0.00101567964416169,"Honor_of_Kings","MOBA",6.7
"54",54,0.000960976905556593,"Honor_of_Kings","MOBA",6.7
"55",55,0.00105310626805579,"Honor_of_Kings","MOBA",6.7
"56",1,0,"Onmyoji_Arena","MOBA",0.1
"57",2,0,"Onmyoji_Arena","MOBA",0.1
"58",3,0,"Onmyoji_Arena","MOBA",0.1
"59",4,0,"Onmyoji_Arena","MOBA",0.1
"60",5,0.000295115907897868,"Onmyoji_Arena","MOBA",0.1
"61",6,0.00114311550193791,"Onmyoji_Arena","MOBA",0.1
"62",7,0.00238246909190474,"Onmyoji_Arena","MOBA",0.1
"63",8,0.00411772453835353,"Onmyoji_Arena","MOBA",0.1
"64",9,0.00644381384885153,"Onmyoji_Arena","MOBA",0.1
"65",10,0.00942638276663709,"Onmyoji_Arena","MOBA",0.1
"66",11,0.0130797086403297,"Onmyoji_Arena","MOBA",0.1
"67",12,0.017346444331864,"Onmyoji_Arena","MOBA",0.1
"68",13,0.0220844683086768,"Onmyoji_Arena","MOBA",0.1
"69",14,0.0270659793983685,"Onmyoji_Arena","MOBA",0.1
"70",15,0.0319923619481258,"Onmyoji_Arena","MOBA",0.1
"71",16,0.0365253783635153,"Onmyoji_Arena","MOBA",0.1
"72",17,0.0403314664858382,"Onmyoji_Arena","MOBA",0.1
"73",18,0.0431321980347683,"Onmyoji_Arena","MOBA",0.1
"74",19,0.0447512809309134,"Onmyoji_Arena","MOBA",0.1
"75",20,0.0451477323230541,"Onmyoji_Arena","MOBA",0.1
"76",21,0.0444265316910404,"Onmyoji_Arena","MOBA",0.1
"77",22,0.0428221715235778,"Onmyoji_Arena","MOBA",0.1
"78",23,0.0406563999889195,"Onmyoji_Arena","MOBA",0.1
"79",24,0.0382778159319088,"Onmyoji_Arena","MOBA",0.1
"80",25,0.035996144007277,"Onmyoji_Arena","MOBA",0.1
"81",26,0.0340263222042222,"Onmyoji_Arena","MOBA",0.1
"82",27,0.0324558982013039,"Onmyoji_Arena","MOBA",0.1
"83",28,0.0312436692420259,"Onmyoji_Arena","MOBA",0.1
"84",29,0.0302493203175729,"Onmyoji_Arena","MOBA",0.1
"85",30,0.029285350598722,"Onmyoji_Arena","MOBA",0.1
"86",31,0.0281764683243366,"Onmyoji_Arena","MOBA",0.1
"87",32,0.0268098944851951,"Onmyoji_Arena","MOBA",0.1
"88",33,0.0251632607665192,"Onmyoji_Arena","MOBA",0.1
"89",34,0.0233039554648252,"Onmyoji_Arena","MOBA",0.1
"90",35,0.0213624837702795,"Onmyoji_Arena","MOBA",0.1
"91",36,0.0194898333273754,"Onmyoji_Arena","MOBA",0.1
"92",37,0.0178126997674406,"Onmyoji_Arena","MOBA",0.1
"93",38,0.0163997768738916,"Onmyoji_Arena","MOBA",0.1
"94",39,0.0152477478305838,"Onmyoji_Arena","MOBA",0.1
"95",40,0.0142889318033824,"Onmyoji_Arena","MOBA",0.1
"96",41,0.013416033083943,"Onmyoji_Arena","MOBA",0.1
"97",42,0.0125150786840267,"Onmyoji_Arena","MOBA",0.1
"98",43,0.0114964686312228,"Onmyoji_Arena","MOBA",0.1
"99",44,0.0103160173942536,"Onmyoji_Arena","MOBA",0.1
"100",45,0.0089818890926949,"Onmyoji_Arena","MOBA",0.1
"101",46,0.0075478810753152,"Onmyoji_Arena","MOBA",0.1
"102",47,0.00609711939852379,"Onmyoji_Arena","MOBA",0.1
"103",48,0.0047219675415886,"Onmyoji_Arena","MOBA",0.1
"104",49,0.003505654364443,"Onmyoji_Arena","MOBA",0.1
"105",50,0.00250932926227264,"Onmyoji_Arena","MOBA",0.1
"106",51,0.00176586712440069,"Onmyoji_Arena","MOBA",0.1
"107",52,0.00127967864164683,"Onmyoji_Arena","MOBA",0.1
"108",53,0.00103060863427474,"Onmyoji_Arena","MOBA",0.1
"109",54,0.00097983751059797,"Onmyoji_Arena","MOBA",0.1
"110",55,0.00107625301935922,"Onmyoji_Arena","MOBA",0.1
"111",1,0,"Mobile_League","MOBA",1.1
"112",2,0,"Mobile_League","MOBA",1.1
"113",3,0,"Mobile_League","MOBA",1.1
"114",4,0,"Mobile_League","MOBA",1.1
"115",5,0,"Mobile_League","MOBA",1.1
"116",6,0.000456744639024729,"Mobile_League","MOBA",1.1
"117",7,0.00137564345294209,"Mobile_League","MOBA",1.1
"118",8,0.00271906221366509,"Mobile_League","MOBA",1.1
"119",9,0.00460731664292079,"Mobile_League","MOBA",1.1
"120",10,0.00715687992381053,"Mobile_League","MOBA",1.1
"121",11,0.0104599287381364,"Mobile_League","MOBA",1.1
"122",12,0.014558976489961,"Mobile_League","MOBA",1.1
"123",13,0.0194203435595435,"Mobile_League","MOBA",1.1
"124",14,0.0249123124247668,"Mobile_League","MOBA",1.1
"125",15,0.0307950635841403,"Mobile_League","MOBA",1.1
"126",16,0.0367290311187696,"Mobile_League","MOBA",1.1
"127",17,0.0423055563335277,"Mobile_League","MOBA",1.1
"128",18,0.0470987061146127,"Mobile_League","MOBA",1.1
"129",19,0.0507308330155934,"Mobile_League","MOBA",1.1
"130",20,0.0529387266691677,"Mobile_League","MOBA",1.1
"131",21,0.0536242520154847,"Mobile_League","MOBA",1.1
"132",22,0.0528749275247901,"Mobile_League","MOBA",1.1
"133",23,0.0509463594171205,"Mobile_League","MOBA",1.1
"134",24,0.0482083934665718,"Mobile_League","MOBA",1.1
"135",25,0.0450672907150331,"Mobile_League","MOBA",1.1
"136",26,0.0418836231902533,"Mobile_League","MOBA",1.1
"137",27,0.0389071635256963,"Mobile_League","MOBA",1.1
"138",28,0.0362450063642503,"Mobile_League","MOBA",1.1
"139",29,0.033869077779719,"Mobile_League","MOBA",1.1
"140",30,0.031657457946232,"Mobile_League","MOBA",1.1
"141",31,0.0294545029800187,"Mobile_League","MOBA",1.1
"142",32,0.0271306076379924,"Mobile_League","MOBA",1.1
"143",33,0.0246246001275123,"Mobile_League","MOBA",1.1
"144",34,0.0219589582721076,"Mobile_League","MOBA",1.1
"145",35,0.019227423237975,"Mobile_League","MOBA",1.1
"146",36,0.0165628698563643,"Mobile_League","MOBA",1.1
"147",37,0.014097960380515,"Mobile_League","MOBA",1.1
"148",38,0.0119312095602337,"Mobile_League","MOBA",1.1
"149",39,0.0101073296401703,"Mobile_League","MOBA",1.1
"150",40,0.00861495520719132,"Mobile_League","MOBA",1.1
"151",41,0.00739923479537002,"Mobile_League","MOBA",1.1
"152",42,0.00638301562676598,"Mobile_League","MOBA",1.1
"153",43,0.00548920585423108,"Mobile_League","MOBA",1.1
"154",44,0.00465816030375597,"Mobile_League","MOBA",1.1
"155",45,0.00385668965511179,"Mobile_League","MOBA",1.1
"156",46,0.00307837617316822,"Mobile_League","MOBA",1.1
"157",47,0.00233729870412403,"Mobile_League","MOBA",1.1
"158",48,0.00165847348876192,"Mobile_League","MOBA",1.1
"159",49,0.00106826260888105,"Mobile_League","MOBA",1.1
"160",50,0.000587046172385308,"Mobile_League","MOBA",1.1
"161",51,0.000225142851630729,"Mobile_League","MOBA",1.1
"162",52,0,"Mobile_League","MOBA",1.1
"163",53,0,"Mobile_League","MOBA",1.1
"164",54,0,"Mobile_League","MOBA",1.1
"165",55,0,"Mobile_League","MOBA",1.1
"166",1,0,"Mobile_Crossfire","FPS",0.43
"167",2,0,"Mobile_Crossfire","FPS",0.43
"168",3,0,"Mobile_Crossfire","FPS",0.43
"169",4,0,"Mobile_Crossfire","FPS",0.43
"170",5,0,"Mobile_Crossfire","FPS",0.43
"171",6,5.43183863461568e-05,"Mobile_Crossfire","FPS",0.43
"172",7,0.000801484367376095,"Mobile_Crossfire","FPS",0.43
"173",8,0.00195132445820589,"Mobile_Crossfire","FPS",0.43
"174",9,0.00365209679062211,"Mobile_Crossfire","FPS",0.43
"175",10,0.00606685471050744,"Mobile_Crossfire","FPS",0.43
"176",11,0.00935250287173292,"Mobile_Crossfire","FPS",0.43
