"","game","percentage_gen_z"
"1","CS:GO",0.533608489885846
"2","DOTA2",0.523853191014051
"3","Lost Ark",0.638317842616496
"4","PUBG",0.450186496721418
"5","Apex Legends",0.735808692263989
"6","GTA5",0.646300421320452
"7","Team Fortress 2",0.611847824328928
"8","Rust",0.635104903406535
"9","ARK: Survival Evolved",0.620817447753282
"10","PAYDAY2",0.665745552790504
"11","Dead by Daylight",0.612010312415306
"12","Destiny2",0.705083169785489
"13","War Thunder",0.644089767099647
"14","MIR4",0.396038041416388
"15","MONSTER HUNTER RISE",0.584893429804478
