Game Name,Abbreviation,Category,Game Operator,Active player,Percentage player that are GZ,Number_GZ player,TGIZ,Genre_MAUZ,Genre_TGIZ
CS:GO,CS:GO,FPS,Valve,11.88,0.53360849,6.339268861,2.944556115,14.19632322,0.576617515
PUBG,PUBG,FPS,Bluehole,3.5,0.450186497,1.57565274,2.484217225,14.19632322,0.576617515
Apex Legends,Apex Legends,FPS,Respawn ,3.62,0.735808692,2.663627465,4.060336418,14.19632322,0.576617515
Team Fortress 2,Team Fortress 2,FPS,Valve,2.2,0.611847824,1.346065213,3.37629608,14.19632322,0.576617515
Rust,Rust,FPS,Facepunch,1.58,0.635104903,1.003465747,3.504633195,14.19632322,0.576617515
PAYDAY2,PAYDAY2,FPS,Overkill ,0.74,0.665745553,0.492651709,3.673714297,14.19632322,0.576617515
Destiny2,Destiny2,FPS,Bungie,1.1,0.70508317,0.775591487,3.890786969,14.19632322,0.576617515
Lost Ark,Lost Ark,MMORPG,Tripod ,4.12,0.638317843,2.629869513,3.522362823,3.930700912,0.604723217
Dead by Daylight,Dead by Daylight,MMORPG,Behaviour ,0.74,0.612010312,0.452887631,3.377192721,3.930700912,0.604723217
War Thunder,War Thunder,MMORPG,Gaijin ,0.8,0.644089767,0.515271814,3.554213432,3.930700912,0.604723217
MIR4,MIR4,MMORPG,Wemade,0.84,0.396038041,0.332671954,2.185415447,3.930700912,0.604723217
DOTA2,DOTA2,MOBA,Valve,8.96,0.523853191,4.693724591,2.890724466,4.693724591,0.523853191
GTA5,GTA5,RPG,Rockstar,1.92,0.646300421,1.240896808,3.566412255,3.374645821,0.618067
ARK: Survival Evolved,ARK: Survival Evolved,RPG,Wildcard ,1.76,0.620817448,1.092638708,3.425792218,3.374645821,0.618067
MONSTER HUNTER RISE,MONSTER HUNTER RISE,RPG,Nintendo ,1.78,0.58489343,1.041110305,3.227556454,3.374645821,0.618067
