"","game","percentage_gen_z"
"1","Honor_of_Kings",0.439830504287479
"2","Onmyoji_Arena",0.576154937271803
"3","Mobile_League",0.653915910586286
"4","Mobile_Crossfire",0.762595539527873
"5","Mobile_PUBG",0.285926887108578
"6","Ace_Force",0.466596446405738
"7","Genshin_Impact",0.492004025269348
"8","Honkai_Impact",0.655004707262444
"9","Princess_Connect",0.7094595236971
"10","Clash_Royale",0.424166520954762
"11","Clash_of_Clans",0.542285390419373
"12","Carrot_Fantasy",0.595019020314882
"13","Onmyoji",0.669835122277744
"14","Fantasy_Westward_Journey",0.584914568241388
"15","Heartstone",0.729892453765136
